rank,phd_school,phd_country,n,n_dest,score,D,T,R,I,is_prestigious,retention_rate,uplift,intl_rate,self_ret,pct_tenure_track,pct_permanent_research,pct_industry_senior,pct_government,pct_industry_entry,pct_postdoc,pct_further_education,pct_unknown
221,university of bologna,it,20,18,46.04,0.3629164955419108,0.6184786793356606,1.0,0.61,True,0.35,-0.12777594747945442,0.6,0.0,15.0,0.0,0.0,0.0,0.0,35.0,20.0,30.0
222,university of pretoria,za,29,26,45.99,0.28403948384971145,0.7273295341515598,1.0,0.5655172413793104,True,0.27586206896551724,-0.16131055329560023,0.3793103448275862,0.0,31.0,6.9,24.1,3.4,3.4,6.9,10.3,13.8
223,georg-august-universität göttingen,de,21,20,45.96,0.3196612573045929,0.6960767603274739,1.0,0.5428571428571429,True,0.23809523809523808,-0.15053509087012867,0.8095238095238095,0.0,28.6,4.8,0.0,9.5,4.8,28.6,0.0,23.8
224,universitat de barcelona,es,49,42,45.82,0.3483271533300272,0.6867992343974845,1.0,0.4857142857142857,True,0.14285714285714285,-0.24122411093004403,0.5714285714285714,0.0,26.5,6.1,16.3,4.1,0.0,10.2,16.3,20.4
225,american university,us,21,21,45.53,0.33822816215120066,0.6716865164250349,1.0,0.5428571428571429,True,0.23809523809523808,-0.17938893827304536,0.3333333333333333,0.0,19.0,9.5,4.8,4.8,4.8,19.0,9.5,28.6
226,lund university,se,28,25,45.4,0.34479314423870294,0.706023899446384,1.0,0.4428571428571429,True,0.07142857142857142,-0.28331017189210433,0.5357142857142857,0.0,35.7,7.1,3.6,3.6,0.0,21.4,7.1,21.4
227,shandong university,cn,21,15,44.95,0.3388053164408805,0.7033938334982055,1.0,0.4571428571428572,True,0.09523809523809523,-0.30490523924675084,0.2857142857142857,0.0,42.9,0.0,0.0,0.0,0.0,9.5,4.8,42.9
228,universidad autónoma de baja california - campus tijuana,mx,20,15,44.5,0.3359926044252219,0.5734786793356607,1.0,0.76,True,0.6,0.06699630123594635,0.2,0.0,0.0,0.0,5.0,0.0,0.0,0.0,35.0,60.0
229,university of new mexico,us,20,20,44.04,0.2968814245780433,0.7047286793356606,1.0,0.55,True,0.25,-0.10298431454774842,0.15,0.0,35.0,10.0,0.0,0.0,5.0,25.0,5.0,20.0
230,middle east technical university,tr,15,15,44.0,0.3185265242271654,0.6582613478121837,1.0,0.6,True,0.3333333333333333,-0.22558279594541603,0.3333333333333333,0.0,20.0,0.0,0.0,6.7,6.7,6.7,13.3,46.7
231,international islamic university malaysia,my,23,21,44.0,0.2914060727775844,0.7078871435680565,1.0,0.5565217391304348,True,0.2608695652173913,-0.179056891033809,0.43478260869565216,0.0,43.5,0.0,4.3,0.0,0.0,13.0,8.7,30.4
232,university of notre dame,us,16,16,43.98,0.30104878139902586,0.7316429770396229,1.0,0.47500000000000003,True,0.125,-0.2995637322305219,0.5,0.0,50.0,0.0,0.0,12.5,0.0,0.0,6.2,31.2
233,university of copenhagen,dk,63,42,43.82,0.37992740524203694,0.6643270743786317,1.0,0.41904761904761906,True,0.031746031746031744,-0.35395743418983067,0.42857142857142855,0.0,20.6,14.3,3.2,4.8,0.0,22.2,11.1,23.8
234,romanian academy,ro,22,17,43.62,0.3060712402621598,0.6735511231768198,1.0,0.5909090909090909,True,0.3181818181818182,-0.1510541912556682,0.045454545454545456,0.0,27.3,9.1,0.0,13.6,0.0,0.0,27.3,22.7
235,warsaw school of economics,pl,16,14,43.54,0.2886826021935768,0.7141593169089041,1.0,0.5411764705882354,True,0.23529411764705882,-0.18513116701229443,0.11764705882352941,0.0,50.0,0.0,0.0,0.0,0.0,6.2,18.8,25.0
236,universiti putra malaysia,my,60,55,43.41,0.2746701360684233,0.7511143396678304,1.0,0.49,True,0.15,-0.2014469291189636,0.6,0.0,56.7,0.0,0.0,5.0,3.3,1.7,16.7,16.7
237,universidad carlos iii de madrid,es,49,47,43.37,0.35636044843392034,0.6802774952670496,1.0,0.43673469387755104,True,0.061224489795918366,-0.457465243202716,0.5510204081632653,0.0,28.6,4.1,4.1,6.1,2.0,12.2,8.2,34.7
238,university of nairobi,ke,16,15,43.3,0.28479588706032444,0.6969207548174007,1.0,0.5875,True,0.3125,-0.03701450120267136,0.25,0.0,18.8,25.0,6.2,6.2,0.0,6.2,12.5,25.0
239,universidad autónoma de madrid,es,24,23,43.12,0.33200749008411257,0.6577078903051461,1.0,0.55,True,0.25,-0.17669331679645506,0.4583333333333333,0.0,16.7,12.5,4.2,0.0,4.2,8.3,12.5,41.7
240,university of utah,us,20,19,43.04,0.2928575459408305,0.7147286793356606,1.0,0.52,True,0.2,-0.2266338029334276,0.35,0.0,40.0,0.0,5.0,5.0,0.0,10.0,0.0,40.0
241,dalian university of technology,cn,19,17,42.55,0.3649216562128651,0.6625422352160621,1.0,0.4409819639278557,False,1.0,0.285592826950529,0.47368421052631576,0.0,31.6,0.0,5.3,0.0,0.0,15.8,26.3,21.1
242,universiti utara malaysia,my,19,18,42.55,0.27683323299017293,0.7266447993186264,1.0,0.5263157894736842,True,0.21052631578947367,-0.1787251531709521,0.7368421052631579,0.0,57.9,0.0,5.3,0.0,0.0,0.0,26.3,10.5
243,wageningen university & research,nl,20,19,42.5,0.31414569686927996,0.6734786793356606,1.0,0.55,True,0.25,-0.1840575010765288,0.65,0.0,10.0,25.0,0.0,0.0,5.0,35.0,0.0,25.0
244,national taiwan university,tw,22,18,42.26,0.3127048709565535,0.7259320755577721,1.0,0.4272727272727273,True,0.045454545454545456,-0.37737861973815945,0.18181818181818182,0.0,50.0,4.5,0.0,0.0,0.0,27.3,9.1,9.1
