rank,phd_school,phd_country,n,n_dest,score,D,T,R,I,is_prestigious,retention_rate,uplift,intl_rate,self_ret,pct_tenure_track,pct_permanent_research,pct_industry_senior,pct_government,pct_industry_entry,pct_postdoc,pct_further_education,pct_unknown
241,università degli studi di trento,it,18,14,61.19,0.3455635848670042,0.6729736845754402,1.0,0.7333333333333334,True,0.5555555555555556,0.02885138653716246,0.5,0.0,22.2,5.6,0.0,0.0,0.0,50.0,0.0,22.2
242,universiti sains malaysia,my,40,37,61.15,0.30384204230018325,0.8053833335644456,1.0,0.535,True,0.225,-0.23489041975896197,0.7,0.0,65.0,5.0,5.0,0.0,0.0,2.5,2.5,20.0
243,indian institute of science,in,33,30,61.12,0.3469215365883406,0.6891132078088061,1.0,0.6909090909090909,True,0.48484848484848486,-0.023374577353029558,0.45454545454545453,0.0,33.3,6.1,0.0,0.0,0.0,24.2,6.1,30.3
244,imperial college london,gb,93,85,60.95,0.40642036093534023,0.7170176992377586,1.0,0.4645161290322581,True,0.10752688172043011,-0.44376683818944135,0.5376344086021505,0.0,30.1,16.1,2.2,2.2,5.4,18.3,4.3,21.5
245,bharathidasan university,in,27,25,60.95,0.2983946263026207,0.791978723699292,1.0,0.5777777777777777,True,0.2962962962962963,-0.1941414014447182,0.25925925925925924,0.0,63.0,14.8,0.0,0.0,0.0,11.1,7.4,3.7
246,nanjing university of science and technology,cn,34,34,60.9,0.38031692936484196,0.653203703960495,1.0,0.6823529411764706,True,0.47058823529411764,0.0014876654328508931,0.4117647058823529,0.0,23.5,8.8,0.0,0.0,0.0,8.8,14.7,44.1
247,pondicherry university,in,47,42,60.88,0.2815819118525199,0.788402985281593,1.0,0.6297872340425532,True,0.3829787234042553,-0.01031682268338674,0.0851063829787234,0.0,61.7,4.3,2.1,0.0,0.0,19.1,4.3,8.5
248,university of canterbury,nz,25,25,60.85,0.3401424446730171,0.6860666669748161,1.0,0.712,True,0.52,-0.026544255476486367,0.84,0.0,24.0,8.0,4.0,0.0,20.0,20.0,12.0,12.0
249,georgia state university,us,41,37,60.84,0.3420543776380001,0.7798852461289628,1.0,0.4878048780487805,True,0.14634146341463414,-0.16290320087307492,0.0975609756097561,0.0,58.5,9.8,2.4,0.0,2.4,4.9,12.2,9.8
250,university of chicago,us,24,22,60.83,0.40103826064868175,0.6857500003151529,1.0,0.55,True,0.25,-0.23725234086586894,0.08333333333333333,0.0,29.2,4.2,0.0,0.0,8.3,33.3,4.2,20.8
